diaObjectId,z,r_psfFluxMean,nDiaSources,lastDiaSourceMjdTai,m_r,dist_mpc,h0_estimate
170028530008064024,0.001294,1400.81,211,61098.24043959218,19.63405187109494,612.0830798438603,0.6337878764159693
170028530556469288,0.00489793,4154.8,119,61098.24137255241,18.45362474366727,355.4061582685702,4.131499284595536
170028530685968403,0.290998,1656.25,106,61098.1915963458,19.452185271797795,562.9075249632417,154.97905445033322
170028531585646686,0.00351735,1020.49,154,61098.23997026903,19.97797812706918,717.1262591111599,1.4704152337825727
170028531884490803,0.594908,1543.34,109,61098.24137255241,19.528845993304532,583.1351207453139,305.8444818412904
170032916782907437,0.001811,1333.22,141,61095.21235168562,19.687745473837637,627.4066170809755,0.8653452371395581
170032917998731340,0.001811,1087.5,129,61098.239036417246,19.908926835933315,694.6809142645782,0.78154346361398
170046108201910299,0.0038,1684.26,200,61098.239036417246,19.433977157254436,558.2071968412595,2.0408364952219236
170050505205612651,0.003272,6031.26,225,61098.24137255241,18.048979915289195,294.9823173407731,3.325349917125637
313699507056935034,0.003993,4189.32,112,61095.08593765129,18.444641207839297,353.9388549714923,3.3821362372710593
313853517419774035,0.198088,2048.02,180,61096.23628102642,19.22166450604538,506.2125421241221,117.31277735884024
313853517535117407,0.170235,1445.39,103,61095.15836536857,19.60003737473353,602.5699572389528,84.69570784002227
313853517540884547,0.061582,2050.14,252,61095.16302967743,19.22054125894369,505.95075904455405,36.489303224104056
313853517623197781,0.0044915,1942.06,830,61108.08638488848,19.27934335894267,519.8387764379294,2.5902565492518503
313871015516569720,0.12475,1125.26,229,61108.08591622555,19.871867787749668,682.9258589241653,54.76297679493595
313893022968840286,0.003269,1714.13,133,61098.09696103961,19.414890607341697,553.3222336993587,1.77115608588911
314003013998478333,0.0446479,3431.36,197,61106.24337388651,18.661334255238806,391.0811206991175,34.225847493427445
